Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
19796008,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
19895503,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
19895755,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
19896004,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
19903565,00000522,false,Rx,0,6,01,0A,F8,C1,05,00,00,00,
19963945,00000521,false,Rx,0,6,00,01,07,00,00,00,00,00,
19995502,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
19995754,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
19996007,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
20000528,00000526,false,Rx,0,6,05,02,01,00,00,00,00,00,
20095498,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
20095750,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
20096009,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
20195506,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
20195745,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
20195993,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
20201533,00000527,false,Rx,0,6,06,0D,12,00,00,00,00,00,
20221680,00000528,false,Rx,0,6,07,08,01,00,00,00,00,00,
20253805,00000523,false,Rx,0,6,02,04,EE,FF,FF,FF,00,00,
20295495,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
20295747,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
20295995,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
20302131,00000525,false,Rx,0,6,04,08,C2,00,00,00,00,00,
20386667,00000524,false,Rx,0,6,03,0E,EC,FF,FF,FF,00,00,
20395495,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
20395748,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
20395995,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
20495495,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
20495741,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
20495994,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
20533596,00000522,false,Rx,0,6,01,0B,F3,C1,05,00,00,00,
20575865,00000521,false,Rx,0,6,00,02,09,00,00,00,00,00,
20595493,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
20595739,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
20595992,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
20695490,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
20695742,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
20695989,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
20702974,00000526,false,Rx,0,6,05,03,FD,FF,FF,FF,00,00,
20795487,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
20795739,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
20795994,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
20895483,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
20895735,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
20895989,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
20901958,00000523,false,Rx,0,6,02,05,EE,FF,FF,FF,00,00,
20922159,00000527,false,Rx,0,6,06,0E,12,00,00,00,00,00,
20960409,00000528,false,Rx,0,6,07,09,01,00,00,00,00,00,
20986518,00000525,false,Rx,0,6,04,09,C2,00,00,00,00,00,
20995481,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
20995732,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
20995987,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
21052957,00000524,false,Rx,0,6,03,0F,EB,FF,FF,FF,00,00,
21095483,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21095732,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21095987,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
21163626,00000522,false,Rx,0,6,01,0C,F7,C1,05,00,00,00,
21187781,00000521,false,Rx,0,6,00,03,0F,00,00,00,00,00,
21195476,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21195728,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21195975,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
21295474,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21295727,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21295974,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
21395477,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21395733,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21395969,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
21405501,00000526,false,Rx,0,6,05,04,02,00,00,00,00,00,
21495471,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21495724,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21495967,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
21550110,00000523,false,Rx,0,6,02,06,EE,FF,FF,FF,00,00,
21595471,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21595723,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21595969,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
21642773,00000527,false,Rx,0,6,06,0F,12,00,00,00,00,00,
21670899,00000525,false,Rx,0,6,04,0A,C3,00,00,00,00,00,
21695465,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21695717,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21695964,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
21699144,00000528,false,Rx,0,6,07,0A,01,00,00,00,00,00,
21719203,00000524,false,Rx,0,6,03,00,EF,FF,FF,FF,00,00,
21793656,00000522,false,Rx,0,6,01,0D,01,C2,05,00,00,00,
21795466,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21795718,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21795964,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
21799688,00000521,false,Rx,0,6,00,04,05,00,00,00,00,00,
21895462,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21895715,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21895958,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
21995462,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21995715,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21995975,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
22095456,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22095708,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22095955,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
22107815,00000526,false,Rx,0,6,05,05,03,00,00,00,00,00,
22195455,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22195707,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22195953,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
22198252,00000523,false,Rx,0,6,02,07,E7,FF,FF,FF,00,00,
22295452,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22295704,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22295951,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
22355262,00000525,false,Rx,0,6,04,0B,C2,00,00,00,00,00,
22363360,00000527,false,Rx,0,6,06,00,12,00,00,00,00,00,
22385446,00000524,false,Rx,0,6,03,01,F2,FF,FF,FF,00,00,
22395452,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22395704,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22395951,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
22411635,00000521,false,Rx,0,6,00,05,0C,00,00,00,00,00,
22423668,00000522,false,Rx,0,6,01,0E,04,C2,05,00,00,00,
22437838,00000528,false,Rx,0,6,07,0B,01,00,00,00,00,00,
22495452,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22495704,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22495945,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
