Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
16356105,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16364457,00000522,false,Rx,0,6,01,0C,0C,B6,05,00,00,00,
16433098,00000524,false,Rx,0,6,03,0B,F9,FF,FF,FF,00,00,
16455606,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16455858,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16456104,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16555605,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16555857,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16556103,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16559234,00000521,false,Rx,0,6,00,0C,F7,FF,FF,FF,00,00,
16600989,00000528,false,Rx,0,6,07,0F,A6,1E,00,00,00,00,
16655602,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16655855,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16656101,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16755602,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16755847,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16756100,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16784321,00000525,false,Rx,0,6,04,0B,5E,00,00,00,00,00,
16800438,00000523,false,Rx,0,6,02,02,F7,FF,FF,FF,00,00,
16804811,00000526,false,Rx,0,6,05,0E,00,00,00,00,00,00,
16855600,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16855846,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16856098,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16917580,00000527,false,Rx,0,6,06,05,B8,2A,01,00,00,00,
16955594,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
16955849,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
16956095,00000102,false,Rx,0,8,01,90,01,00,00,01,00,00,
16996221,00000522,false,Rx,0,6,01,0D,1F,B6,05,00,00,00,
17055594,00000100,false,Rx,0,8,00,00,00,00,9A,01,C8,00,
