Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
19748949,00000521,false,Rx,0,6,00,0E,0F,00,00,00,00,00,
19833502,00000523,false,Rx,0,6,02,0B,E8,FF,FF,FF,00,00,
20115411,00000528,false,Rx,0,6,07,0E,67,0D,00,00,00,00,
20147614,00000527,false,Rx,0,6,06,03,05,81,00,00,00,00,
20195869,00000524,false,Rx,0,6,03,0E,F8,FF,FF,FF,00,00,
20244318,00000526,false,Rx,0,6,05,0A,03,00,00,00,00,00,
20296530,00000525,false,Rx,0,6,04,03,BB,00,00,00,00,00,
20360963,00000521,false,Rx,0,6,00,0F,05,00,00,00,00,00,
20361171,00000522,false,Rx,0,6,01,0C,30,D6,05,00,00,00,
20481731,00000523,false,Rx,0,6,02,0C,F7,FF,FF,FF,00,00,
20854211,00000528,false,Rx,0,6,07,0F,67,0D,00,00,00,00,
20862218,00000524,false,Rx,0,6,03,0F,F1,FF,FF,FF,00,00,
20868302,00000527,false,Rx,0,6,06,04,05,81,00,00,00,00,
20947094,00000526,false,Rx,0,6,05,0B,FB,FF,FF,FF,00,00,
20972906,00000521,false,Rx,0,6,00,00,09,00,00,00,00,00,
20980989,00000525,false,Rx,0,6,04,04,BA,00,00,00,00,00,
20991034,00000522,false,Rx,0,6,01,0D,37,D6,05,00,00,00,
21129955,00000523,false,Rx,0,6,02,0D,EB,FF,FF,FF,00,00,
21477112,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21477364,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21477605,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
21528565,00000524,false,Rx,0,6,03,00,ED,FF,FF,FF,00,00,
21577107,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21577362,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21577608,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
21584922,00000521,false,Rx,0,6,00,01,06,00,00,00,00,00,
21589018,00000527,false,Rx,0,6,06,05,05,81,00,00,00,00,
21593051,00000528,false,Rx,0,6,07,00,67,0D,00,00,00,00,
21621158,00000522,false,Rx,0,6,01,0E,2E,D6,05,00,00,00,
21649677,00000526,false,Rx,0,6,05,0C,F8,FF,FF,FF,00,00,
21665483,00000525,false,Rx,0,6,04,05,BB,00,00,00,00,00,
21677109,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21677361,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21677601,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
21777103,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21777355,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21777602,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
21778207,00000523,false,Rx,0,6,02,0E,EB,FF,FF,FF,00,00,
21877103,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21877349,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21877596,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
21977100,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
21977353,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
21977593,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
22077099,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22077356,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22077591,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
22177093,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22177346,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22177589,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
22194924,00000524,false,Rx,0,6,03,01,F6,FF,FF,FF,00,00,
22197054,00000521,false,Rx,0,6,00,02,04,00,00,00,00,00,
22251280,00000522,false,Rx,0,6,01,0F,36,D6,05,00,00,00,
22277090,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22277343,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22277589,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
22309734,00000527,false,Rx,0,6,06,06,05,81,00,00,00,00,
22331879,00000528,false,Rx,0,6,07,01,67,0D,00,00,00,00,
22349956,00000525,false,Rx,0,6,04,06,BA,00,00,00,00,00,
22352426,00000526,false,Rx,0,6,05,0D,00,00,00,00,00,00,
22377094,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22377346,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22377591,00000102,false,Rx,0,8,01,84,01,00,00,00,00,00,
22426430,00000523,false,Rx,0,6,02,0F,F4,FF,FF,FF,00,00,
22477090,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22477342,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22477585,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
22577086,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22577338,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22577588,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
22677086,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22677338,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22677587,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
22777083,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22777335,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22777582,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
22808906,00000521,false,Rx,0,6,00,03,05,00,00,00,00,00,
22861260,00000524,false,Rx,0,6,03,02,E6,FF,FF,FF,00,00,
22877078,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22877330,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22877577,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
22881371,00000522,false,Rx,0,6,01,00,50,D6,05,00,00,00,
22977078,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
22977330,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
22977577,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
23030435,00000527,false,Rx,0,6,06,07,05,81,00,00,00,00,
23034406,00000525,false,Rx,0,6,04,07,BB,00,00,00,00,00,
23054659,00000526,false,Rx,0,6,05,0E,04,00,00,00,00,00,
23070696,00000528,false,Rx,0,6,07,02,67,0D,00,00,00,00,
23074655,00000523,false,Rx,0,6,02,00,F4,FF,FF,FF,00,00,
23077075,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
23077326,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
23077573,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
23177073,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
23177325,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
23177572,00000102,false,Rx,0,8,01,84,01,00,00,01,00,00,
23277077,00000100,false,Rx,0,8,00,00,00,00,8E,01,C8,00,
23277322,00000101,false,Rx,0,8,00,FF,FE,00,00,00,00,00,
